"","ID","Year","Month","Day","Division_rec","DIVISION","LUG","Length","Wtotal","Gutted_w","P_gonada","P_Higado","Sex","Maturity"
"1",1,1980,5,7,"9a","lXa","L",56,1220,1100,35.2,NA,2,1
"2",2,1980,5,7,"9a","lXa","L",51,950,860,13.8,NA,2,1
"3",3,1980,5,7,"9a","lXa","L",53,940,865,5.9,NA,2,0
"4",4,1980,5,7,"9a","lXa","L",51,930,860,3.8,NA,2,0
"5",5,1980,5,7,"9a","lXa","L",49,850,760,3.1,NA,2,0
"6",6,1980,5,7,"9a","lXa","L",55,1130,1070,5.1,NA,2,0
"7",7,1980,5,7,"9a","lXa","L",46,700,640,2.9,NA,2,0
"8",8,1980,5,7,"9a","lXa","L",46,740,640,1.9,NA,2,0
"9",9,1980,5,7,"9a","lXa","L",45,690,650,1.7,NA,2,0
"10",10,1980,5,7,"9a","lXa","L",42,600,500,2.6,NA,1,0
"11",11,1980,5,7,"9a","lXa","L",48,840,780,2.8,NA,2,0
"12",12,1980,5,7,"9a","lXa","L",44,590,540,0.5,NA,1,0
"13",13,1980,5,7,"9a","lXa","L",57,1290,1220,8.3,NA,2,1
"14",14,1980,5,7,"9a","lXa","L",38,420,390,1.1,NA,2,0
"15",15,1980,5,7,"9a","lXa","L",39,390,340,3.2,NA,2,1
"16",16,1980,5,7,"9a","lXa","L",39,370,330,3.3,NA,2,0
"17",17,1980,5,7,"9a","lXa","L",40,520,430,NA,NA,1,0
"18",18,1980,5,7,"9a","lXa","L",49,970,840,3.3,NA,2,0
"19",19,1980,5,7,"9a","lXa","L",47,740,690,NA,NA,1,1
"20",20,1980,5,7,"9a","lXa","L",53,1140,1060,6.4,NA,2,0
"21",21,1980,5,7,"9a","lXa","L",59,1310,1210,13,NA,2,1
"22",22,1980,5,7,"9a","lXa","L",58,1370,1230,53.9,NA,2,1
"23",23,1980,5,7,"9a","lXa","L",49,880,810,3.7,NA,2,0
"24",24,1980,5,7,"9a","lXa","L",53,1080,970,4,NA,2,0
"25",25,1980,5,7,"9a","lXa","L",48,810,750,3.7,NA,2,0
"26",26,1980,5,7,"9a","lXa","L",47,750,680,3.7,NA,2,0
"27",27,1980,5,7,"9a","lXa","L",49,850,800,4.4,NA,2,0
"28",28,1980,5,7,"9a","lXa","L",45,700,650,2.6,NA,2,0
"29",29,1980,5,7,"9a","lXa","L",51,NA,930,3.8,NA,2,0
"30",30,1980,5,7,"9a","lXa","L",51,1030,910,4.4,NA,2,0
"31",31,1980,5,7,"9a","lXa","L",50,890,820,NA,NA,1,1
"32",32,1980,5,7,"9a","lXa","L",56,1290,1190,36.5,NA,2,1
"33",33,1980,5,7,"9a","lXa","L",57,1240,1160,4.1,NA,2,0
"34",34,1980,5,7,"9a","lXa","L",62,1770,1490,77.1,NA,2,1
"35",35,1980,5,7,"9a","lXa","L",60,1440,1240,74.9,NA,2,1
"36",36,1980,5,7,"9a","lXa","L",40,490,450,1,NA,2,0
"37",37,1980,5,7,"9a","lXa","L",35,330,290,NA,NA,2,0
"38",38,1980,5,7,"9a","lXa","L",43,490,460,1.7,NA,2,0
"39",39,1980,5,7,"9a","lXa","L",37,400,360,NA,NA,1,0
"40",40,1980,5,7,"9a","lXa","L",44,710,600,NA,NA,1,1
"41",41,1980,5,7,"9a","lXa","L",39,440,400,42,NA,2,0
"42",42,1980,5,7,"9a","lXa","L",40,450,420,1,NA,2,0
"43",43,1980,5,7,"9a","lXa","L",36,440,350,42,NA,2,0
"44",44,1980,5,7,"9a","lXa","L",40,500,400,0.5,NA,2,0
"45",45,1980,5,7,"9a","lXa","L",37,430,400,NA,NA,1,0
"46",46,1980,5,7,"9a","lXa","L",38,370,350,0.9,NA,2,0
"47",47,1980,5,7,"9a","lXa","L",40,440,410,0.9,NA,2,0
"48",48,1980,5,7,"9a","lXa","L",39,440,400,0.7,NA,2,0
"49",49,1980,5,7,"9a","lXa","L",40,490,430,0.9,NA,2,0
"50",50,1980,5,7,"9a","lXa","L",34,310,290,NA,NA,1,0
"51",51,1980,5,7,"9a","lXa","L",35,320,300,0.3,NA,2,0
"52",52,1980,5,7,"9a","lXa","L",37,450,360,0.5,NA,2,0
"53",53,1980,5,7,"9a","lXa","L",41,490,450,NA,NA,1,0
"54",54,1980,5,7,"9a","lXa","L",38,400,380,NA,NA,1,0
"55",55,1980,5,7,"9a","lXa","L",37,440,380,NA,NA,1,0
"56",56,1980,5,7,"9a","lXa","L",42,530,450,NA,NA,1,0
"57",57,1980,5,7,"9a","lXa","L",37,370,320,NA,NA,2,0
"58",58,1980,5,7,"9a","lXa","L",40,510,410,0.6,NA,2,0
"59",59,1980,5,7,"9a","lXa","L",36,380,340,0.6,NA,2,0
