"year","step","age","nPop","wPop","nC","wC","mC","nL","wL","mL","nD","wD","mD","lPop","lPopSD"
1982,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1982,1,1,83708096,0.04646508,5591987.3,304167.83,0.27655763,5591987.3,304167.83,0.27655763,0,0,0,18.0002,3.99961
1982,1,2,17266245,0.29333394,1516447.2,441213.55,0.36770365,1516447.2,441213.55,0.36770365,0,0,0,34,5
1982,1,3,16469849,0.85528389,1380125.7,1177321.5,0.35006976,1380125.7,1177321.5,0.35006976,0,0,0,49,5
1982,1,4,4293246.4,1.6382897,355037.49,581245.84,0.34526861,355037.49,581245.84,0.34526861,0,0,0,61,5
1982,1,5,368322.45,2.5764766,30341.109,78154.508,0.34387235,30341.109,78154.508,0.34387235,0,0,0,71,5
1982,1,6,2460647.1,3.6816273,202409.03,745125.01,0.34335787,202409.03,745125.01,0.34335787,0,0,0,80,5
1982,1,7,697376.34,4.8982828,57331.451,280813.91,0.34314758,57331.451,280813.91,0.34314758,0,0,0,88,5
1982,1,8,763147.15,6.1622397,62721.91,386499.24,0.34305293,62721.91,386499.24,0.34305293,0,0,0,95,5
1982,1,9,228944.15,7.1878173,18814.464,135233.14,0.34301279,18814.464,135233.14,0.34301279,0,0,0,100,5
1982,1,10,76314.715,8.3219386,6271.0254,52186.652,0.34298637,6271.0254,52186.652,0.34298637,0,0,0,105,4.99998
1982,1,11,22894.415,9.0567769,1881.2479,17037.934,0.34297501,1881.2479,17037.934,0.34297501,0,0,0,108,4.99973
1982,1,12,7631.4715,10.101635,627.06262,6334.3295,0.34296357,627.06262,6334.3295,0.34296357,0,0,0,111.997,4.99458
1982,1,13,2289.4415,10.650743,188.11644,2003.5723,0.3429591,188.11644,2003.5723,0.3429591,0,0,0,113.988,4.98109
1982,1,14,763.14715,11.497443,62.70452,720.93963,0.34295362,62.70452,720.93963,0.34295362,0,0,0,116.932,4.9106
1982,1,15,228.94415,12.337885,18.811135,232.08915,0.34294942,18.811135,232.08915,0.34294942,0,0,0,119.725,4.70821
1982,2,0,49199848,0.0014248434,202985.27,532.2975,0.016537055,202985.27,532.2975,0.016537055,0,0,0,5.31303,1.90585
1982,2,1,70682378,0.091468773,7608056.8,745947.68,0.45553023,7608056.8,745947.68,0.45553023,0,0,0,22.4209,5.21659
1982,2,2,14251006,0.40925999,1613468.2,652378.33,0.48062369,1613468.2,652378.33,0.48062369,0,0,0,37.8701,5.8881
1982,2,3,13653746,1.0450082,1476090.5,1537897.6,0.45764463,1476090.5,1537897.6,0.45764463,0,0,0,52.2624,5.80365
1982,2,4,3563438.8,1.8814319,380565.18,715414.72,0.45176636,380565.18,715414.72,0.45176636,0,0,0,63.777,5.71893
1982,2,5,305818.16,2.8534681,32539.165,92822.774,0.44998978,32539.165,92822.774,0.44998978,0,0,0,73.3739,5.63375
