"year","len","step","nPop","wPop","nC","wC","mC","nL","wL","mL","nD","wD","mD","mat","mat20","ssb","ssb20","bmass"
1982,1,1,1685.49,2.24e-05,1.1184584,2.5053469e-05,0.0026552034,1.1184584,2.5053469e-05,0.0026552034,0,0,0,8.73873428166857e-06,0,3.29930703074774e-07,0,0.037754976
1982,2,1,4581.6376,0.0001046,4.2809487,0.00044778724,0.0037392307,4.2809487,0.00044778724,0.0037392307,0,0,0,1.16835399202976e-05,0,5.59921141067336e-06,0,0.47923929296
1982,3,1,11699.624,0.0002887,15.372381,0.0044380064,0.0052591394,15.372381,0.0044380064,0.0052591394,0,0,0,1.56206797469159e-05,0,5.27616801988036e-05,0,3.3776814488
1982,4,1,28065.95,0.00061626108,51.796826,0.031920368,0.0073889793,51.796826,0.031920368,0.0073889793,0,0,0,2.08845361665913e-05,0,0.000361217948826371,0,17.295952658226
1982,5,1,63247.631,0.0011290551,164.39237,0.18560804,0.01041028,164.39237,0.18560804,0.01041028,0,0,0,2.7922157311714e-05,0,0.0019939229385493,0,71.4100603434681
1982,6,1,133895.35,0.0018690276,496.06828,0.92716532,0.014847102,496.06828,0.92716532,0.014847102,0,0,0,3.7331210697622e-05,0,0.00934228870906919,0,250.25410466166
1982,7,1,266283.06,0.0028782533,1432.707,4.1236937,0.02157967,1432.707,4.1236937,0.02157967,0,0,0,4.99107163482759e-05,0,0.0382530751311768,0,766.430096179098
1982,8,1,497483.3,0.0041989189,3932.6992,16.513085,0.0317464,3932.6992,16.513085,0.0317464,0,0,0,6.67288577041428e-05,0,0.139389379082863,0,2088.89203080437
1982,9,1,873113.37,0.005873309,10075.763,59.178068,0.04642857,10075.763,59.178068,0.04642857,0,0,0,8.92136106424585e-05,0,0.457493159826453,0,5128.06461404133
1982,10,1,1439528.7,0.0079437941,23668.47,188.01745,0.066313942,23668.47,188.01745,0.066313942,0,0,0,0.000119273853818206,0,1.36393463760022,0,11435.3195938407
1982,11,1,2229606.8,0.010452822,50425.91,527.09305,0.091504718,50425.91,527.09305,0.091504718,0,0,0,0.000159461185320392,0,3.71635183753804,0,23305.6830103896
1982,12,1,3244111.5,0.01344291,97042.533,1304.534,0.1214799,97042.533,1304.534,0.1214799,0,0,0,0.00021318607950191,0,9.29710865361306,0,43610.298924465
1982,13,1,4434301,0.016956639,168687.73,2860.3769,0.15513613,168687.73,2860.3769,0.15513613,0,0,0,0.0002850065465033,0,21.4298820002772,0,75190.841274339
1982,14,1,5694045.4,0.021036649,265317.16,5581.3841,0.19086426,265317.16,5581.3841,0.19086426,0,0,0,0.000381013460093801,0,45.6391770319742,0,119783.634469865
1982,15,1,6868969.2,0.025725636,378464.32,9736.2353,0.22669492,378464.32,9736.2353,0.22669492,0,0,0,0.00050934465337301,0,90.0055812947051,0,176708.601334411
1982,16,1,7784913.2,0.031066344,490950.8,15252.046,0.26056287,490950.8,15252.046,0.26056287,0,0,0,0.000680870325158055,0,164.667665294983,0,241848.791481341
1982,17,1,8289737.5,0.037101566,581012.99,21556.492,0.29066225,581012.99,21556.492,0.29066225,0,0,0,0.000910105969871196,0,279.914233442095,0,307562.242978925
